inspection_id,date,school_id,has_electricity,has_drinking_water,has_functional_toilet,has_boundary_wall,has_playground,inspector_name,remarks
INSP01738,2025-10-02,SCH0230,1,1,1,0,0,OSHA BAJWA,NO REMARKS
INSP02283,2025-09-21,SCH0559,1,1,1,1,1,SAI WARRIOR,AVERAGE
INSP02803,2026-02-19,SCH0238,,1,1,0,0,EKARAJ SEHGAL,NO REMARKS
INSP01408,2026-10-03,SCH0274,,1,1,0,1,KAMALA ROY,AVERAGE
INSP00179,2025-12-09,SCH0577,1,1,1,1,1,RIYA KANT,GOOD CONDITION
INSP01337,2025-06-03,SCH0011,1,1,1,0,0,IMARAN TANDON,TOILETS LOCKED
INSP01815,2025-05-01,SCH0240,0,0,1,1,,LAVANYA CHOUDHRY,AVERAGE
INSP02205,2025-07-11,SCH0037,1,1,1,0,0,RUDRA BAIL,TOILETS LOCKED
INSP01412,2025-08-05,SCH0596,0,1,1,0,0,SAI BHASIN,AVERAGE
INSP02746,2025-11-13,SCH0422,1,1,1,1,,ISAAC KALLA,NO REMARKS
INSP01663,2026-06-03,SCH0456,0,1,1,0,,NEEL GANESH,NEEDS REPAIR
INSP01227,2025-06-29,SCH0398,1,0,,1,1,ISAIAH MANGAT,NO REMARKS
INSP02025,2025-10-08,SCH0219,1,1,1,1,1,BHANUMATI CHAUDHARI,NO REMARKS
INSP02771,2026-03-02,SCH0339,1,1,1,1,0,RAJATA MISTRY,TOILETS LOCKED
INSP02097,2025-05-05,SCH0564,0,0,1,1,,LAKSH DUGAR,GOOD CONDITION
INSP00135,2026-03-09,SCH0542,,1,1,0,1,JACKSON NARASIMHAN,TOILETS LOCKED
INSP02846,2026-02-12,SCH0258,0,1,1,1,0,ISHANVI ARYA,AVERAGE
INSP02987,2025-06-24,SCH0131,,1,1,0,1,KEVIN GADE,NEEDS REPAIR
INSP00103,2026-02-24,SCH0022,1,1,1,1,1,NETRA RAM,AVERAGE
INSP00415,2025-11-05,SCH0093,1,1,1,1,1,LIAM SIBAL,AVERAGE
INSP02697,2026-02-12,SCH0122,1,1,1,0,1,HRITIK NAIDU,TOILETS LOCKED
INSP01484,2025-12-21,SCH0362,1,1,1,1,1,HAMSINI PANDYA,TOILETS LOCKED
INSP01188,2025-06-15,SCH0005,0,0,1,,1,MAX SHENOY,TOILETS LOCKED
INSP01730,2025-10-26,SCH0476,0,1,1,1,0,,GOOD CONDITION
INSP02006,2025-08-02,SCH0075,1,1,1,0,0,ZASHIL HEGDE,AVERAGE
INSP02154,2025-10-12,SCH0434,1,0,1,1,,,NO REMARKS
INSP02572,2025-04-28,SCH0556,1,0,1,0,1,GIRINDRA TIWARI,NO REMARKS
INSP01147,2025-09-30,SCH0535,1,0,1,0,0,VRITTI AGARWAL,NO REMARKS
INSP00310,2026-02-20,SCH0037,1,1,1,1,,,NO REMARKS
INSP02274,2025-12-19,SCH0434,1,1,1,1,0,BAGHYAWATI CHANA,TOILETS LOCKED
INSP02440,2026-09-01,SCH0458,,1,1,1,0,SHIVANSH TRIVEDI,TOILETS LOCKED
INSP00193,2026-12-03,SCH0533,0,1,1,1,1,SHIVANSH TARA,NO REMARKS
INSP00195,2025-07-12,SCH0346,1,1,1,1,0,NIMRAT HAYER,TOILETS LOCKED
INSP00777,2025-06-18,SCH0058,1,0,1,1,0,OESHI PRADHAN,NEEDS REPAIR
INSP01678,2026-03-24,SCH0263,1,1,1,1,0,FITAN HALDER,TOILETS LOCKED
INSP01236,2025-03-11,SCH0442,0,1,0,0,0,,GOOD CONDITION
INSP01394,2025-09-14,SCH0261,1,1,1,0,,YAMINI NAIDU,NEEDS REPAIR
INSP00045,2025-11-04,SCH0003,1,1,,1,1,NICHOLAS KEER,NO REMARKS
INSP01765,2025-04-28,SCH0167,0,1,0,0,0,ZINAL BHAVSAR,AVERAGE
INSP00946,2025-06-09,SCH0129,1,1,1,0,1,ISAAC KHATRI,NO REMARKS
INSP02052,2025-08-18,SCH0398,1,1,0,1,0,PETER MODY,NO REMARKS
INSP00830,2025-07-20,SCH0526,1,0,1,1,0,YATIN GHOSE,TOILETS LOCKED
INSP02967,2025-09-16,SCH0153,,1,1,0,0,FALAK JAGGI,GOOD CONDITION
INSP02922,2026-02-04,SCH0194,1,1,1,1,0,ISAIAH NAGARAJAN,NO REMARKS
INSP01279,2025-12-13,SCH0475,1,1,0,1,0,EKANI OOMMEN,AVERAGE
INSP02900,2025-06-28,SCH0138,0,1,1,1,0,MAYA SASTRY,NO REMARKS
INSP02808,2025-04-30,SCH0052,0,1,1,0,1,VYANJANA BADAL,GOOD CONDITION
INSP01802,2026-02-28,SCH0364,0,1,1,1,0,AISHANI DHILLON,NEEDS REPAIR
INSP00486,2025-09-06,SCH0501,,1,1,0,1,FARAS YOHANNAN,AVERAGE
INSP02372,2026-03-13,SCH0600,1,0,1,1,0,UPKAAR NARANG,GOOD CONDITION
INSP00443,2025-05-15,SCH0530,1,0,1,1,,GAURI DESHMUKH,AVERAGE
INSP01642,2025-11-26,SCH0239,1,1,1,,1,VASUDHA JAYARAMAN,AVERAGE
INSP02598,2025-04-28,SCH0223,1,1,1,1,1,PRANAV MASTER,AVERAGE
INSP01714,2025-05-07,SCH0320,0,1,1,1,1,,GOOD CONDITION
INSP02982,2025-09-26,SCH0169,,1,,,1,SANYA CHOUDHRY,TOILETS LOCKED
INSP00757,2025-10-22,SCH0129,,1,1,0,1,BHANUMATI SRIDHAR,NEEDS REPAIR
INSP01881,2025-04-29,SCH0593,1,1,1,1,0,HEMANI CHANDER,NO REMARKS
INSP00241,2025-11-09,SCH0360,1,1,1,1,1,PETER RAJAGOPALAN,NEEDS REPAIR
INSP02355,2026-01-22,SCH0211,1,1,0,1,1,ALEXANDER GOKHALE,NO REMARKS
INSP01666,2025-12-27,SCH0199,1,1,0,0,0,DIYA SAINI,NO REMARKS
INSP02431,2026-03-16,SCH0083,1,1,1,0,1,IKSHITA DHILLON,NO REMARKS
INSP01744,2026-02-10,SCH0308,1,1,1,0,1,EKANSH BHANDARI,NO REMARKS
INSP00140,2025-10-07,SCH0103,1,1,0,1,0,ZAITRA CHANDRAN,GOOD CONDITION
INSP00195,2025-07-12,SCH0346,1,1,1,1,0,NIMRAT HAYER,TOILETS LOCKED
INSP00347,2025-09-16,SCH0194,,1,0,1,1,NEEL MURTHY,NO REMARKS
INSP01537,2025-10-29,SCH0105,1,1,1,0,1,CHANDRAN GOPAL,NO REMARKS
INSP00315,2025-11-13,SCH0483,1,1,1,0,0,ANVI TARA,NEEDS REPAIR
INSP01743,2026-02-06,SCH0257,1,1,1,1,1,,NO REMARKS
INSP00323,2025-02-10,SCH0316,1,1,1,0,0,RAKSHA JAIN,GOOD CONDITION
INSP01682,2026-01-07,SCH0302,1,1,1,1,1,VAISHNAVI RAU,AVERAGE
INSP01460,2025-09-05,SCH0289,1,0,1,0,,CHARLES BAHRI,AVERAGE
INSP02034,2026-12-01,SCH0386,1,0,0,0,0,ZARNA RAU,NO REMARKS
INSP00257,2025-07-21,SCH0408,,1,1,1,1,ADVAY RAMA,AVERAGE
INSP02300,2026-01-17,SCH0566,,0,1,0,1,BALHAAR WABLE,TOILETS LOCKED
INSP01732,2025-11-12,SCH0529,1,0,0,1,0,DALAJA LALA,NEEDS REPAIR
INSP02601,2026-01-03,SCH0154,1,1,1,0,0,VRISHTI DUGAR,TOILETS LOCKED
INSP00204,2025-09-06,SCH0590,1,1,0,1,1,JACOB MANI,NO REMARKS
INSP01785,2025-04-03,SCH0488,0,1,1,,0,VIDHI OM,GOOD CONDITION
INSP00299,2025-12-14,SCH0599,0,1,1,0,0,ODIKA BHANDARI,NO REMARKS
INSP00052,2025-12-07,SCH0320,0,1,1,0,0,DAKSHA KAPADIA,GOOD CONDITION
INSP00215,2025-05-19,SCH0419,1,1,1,0,0,IKBAL NAGY,NEEDS REPAIR
INSP00064,2026-03-03,SCH0051,1,1,1,0,0,FORUM CHOUDHARY,TOILETS LOCKED
INSP02497,2026-02-23,SCH0004,1,1,1,1,0,AYUSHMAN VYAS,NEEDS REPAIR
INSP02801,2025-05-08,SCH0473,0,0,0,1,1,LAVANYA THAKER,NEEDS REPAIR
INSP01358,2025-11-12,SCH0527,1,0,1,0,0,OJASVI CHAD,TOILETS LOCKED
INSP00300,2025-04-13,SCH0443,0,1,1,0,1,YAUVANI NARANG,TOILETS LOCKED
INSP00433,2025-08-27,SCH0523,1,1,1,1,1,VIRAJ MUNSHI,TOILETS LOCKED
INSP01101,2026-02-26,SCH0512,0,1,1,0,1,ABDUL DAYAL,AVERAGE
INSP00053,2025-04-05,SCH0112,1,1,1,1,0,LIPIKA AGARWAL,NEEDS REPAIR
INSP01227,2025-06-29,SCH0398,1,0,,1,1,ISAIAH MANGAT,NO REMARKS
INSP00795,2025-10-20,SCH0458,0,1,1,1,,CALEB PANDYA,NO REMARKS
INSP02078,2025-10-15,SCH0542,0,1,1,0,0,RAGHAV BAKSHI,AVERAGE
INSP01252,2025-10-22,SCH0450,1,1,1,0,0,DEV SAWHNEY,AVERAGE
INSP01075,2025-09-03,SCH0176,0,1,0,1,0,OVIYA SIDHU,AVERAGE
INSP02378,2025-07-03,SCH0441,1,1,1,1,0,MANTHAN BORA,NO REMARKS
INSP01588,2025-12-12,SCH0440,1,1,1,1,1,YATIN MANDER,TOILETS LOCKED
INSP01289,2025-10-31,SCH0546,1,1,1,1,1,BRIJESH NATARAJAN,TOILETS LOCKED
INSP01675,2025-08-26,SCH0035,1,1,1,1,,RACHANA VAIDYA,NO REMARKS
INSP02133,2026-01-12,SCH0367,1,0,1,,0,KRISHNA VISWANATHAN,TOILETS LOCKED
INSP01448,2026-03-03,SCH0422,1,1,1,,0,ISAAC PALL,AVERAGE
INSP02897,2025-10-14,SCH0263,1,1,0,0,0,IDIKA MUNI,NO REMARKS
INSP00071,2025-08-20,SCH0047,1,,1,0,0,ADVAITH GHOSH,NO REMARKS
INSP00643,2026-03-30,SCH0506,1,1,1,1,1,ANJALI LALLA,NO REMARKS
INSP02543,2026-03-04,SCH0164,0,1,1,0,1,QUINCY RAMASWAMY,NO REMARKS
INSP00945,2025-11-12,SCH0073,1,1,1,0,1,OMAJA GHOSE,TOILETS LOCKED
INSP02852,2026-01-11,SCH0050,1,1,1,,0,HARDIK VENKATESH,NO REMARKS
INSP02539,2025-04-21,SCH0131,1,,1,1,1,JEET SWAMINATHAN,NO REMARKS
INSP01106,2025-04-13,SCH0254,1,,1,1,0,,NO REMARKS
INSP01175,2025-04-22,SCH0422,,0,1,0,0,AMAIRA TARA,AVERAGE
INSP02670,2025-08-10,SCH0525,0,1,,1,,KRISH KALA,NO REMARKS
INSP01757,2025-04-25,SCH0354,,1,1,1,1,SIYA KASHYAP,NO REMARKS
INSP00479,2025-07-09,SCH0535,1,0,1,0,,EIRAVATI BUCH,TOILETS LOCKED
INSP02178,2026-03-01,SCH0160,1,1,0,0,1,MADHAV RATTAN,NEEDS REPAIR
INSP02429,2025-06-14,SCH0291,1,1,0,1,0,EKANTIKA NATH,NEEDS REPAIR
INSP00730,2025-10-09,SCH0305,1,0,1,1,0,ESHANA DEY,NEEDS REPAIR
INSP01761,2025-07-18,SCH0564,0,1,1,1,,TANVEER REDDY,AVERAGE
INSP02282,2025-10-30,SCH0168,1,1,1,0,1,YUG SUR,AVERAGE
INSP00290,2025-12-28,SCH0416,,1,,1,1,WARJAS VALA,NO REMARKS
INSP01092,2025-12-23,SCH0532,1,1,1,0,1,BALENDRA WARRIOR,NEEDS REPAIR
INSP01420,2025-05-01,SCH0040,0,1,1,1,,DARSH NORI,NEEDS REPAIR
INSP00451,2025-07-15,SCH0490,1,1,0,0,0,QUSHI TELLA,AVERAGE
INSP02443,2026-02-23,SCH0473,1,,1,1,,CHAVVI PRADHAN,NO REMARKS
INSP00808,2025-02-07,SCH0493,1,0,0,1,,AZAAN BASAK,NO REMARKS
INSP00464,2025-06-30,SCH0227,1,1,1,1,0,BHAVYA DOSHI,AVERAGE
INSP02529,2025-07-19,SCH0041,1,1,0,1,1,ADVIK RAJA,NEEDS REPAIR
INSP02699,2025-12-03,SCH0482,1,1,0,1,0,,NO REMARKS
INSP00568,2026-03-31,SCH0043,1,1,0,0,0,EDHITHA SRIVASTAVA,NEEDS REPAIR
INSP01611,2025-11-06,SCH0493,1,1,1,1,1,ZEHAAN VIRK,NEEDS REPAIR
INSP00077,2025-08-18,SCH0186,0,,1,1,0,AACHAL CHANDRA,GOOD CONDITION
INSP00332,2025-08-20,SCH0450,1,1,1,1,1,FIYAZ CHANDA,AVERAGE
INSP00612,2026-03-17,SCH0327,1,1,1,0,,GEETIKA RAMAN,NO REMARKS
INSP01074,2025-10-12,SCH0265,0,1,1,1,0,TANVI WAGLE,TOILETS LOCKED
INSP00145,2025-11-22,SCH0215,0,1,1,1,0,YACHANA MANGAT,TOILETS LOCKED
INSP00786,2026-02-13,SCH0313,0,0,,1,1,ZARNA BHARGAVA,NO REMARKS
INSP00046,2025-11-14,SCH0280,1,1,1,1,0,NAKSH RAY,GOOD CONDITION
INSP02908,2025-06-12,SCH0248,1,1,0,1,0,BHAVANI GABA,TOILETS LOCKED
INSP00344,2026-01-06,SCH0451,1,1,1,1,1,GANGA KORPAL,TOILETS LOCKED
INSP02171,2025-11-27,SCH0171,1,1,0,0,0,ANIRUDH MUNI,GOOD CONDITION
INSP01560,2025-06-09,SCH0554,1,1,1,0,0,,NEEDS REPAIR
INSP00545,2025-06-02,SCH0302,0,1,1,1,1,ISHANVI WASON,NEEDS REPAIR
INSP01024,2025-11-08,SCH0428,1,1,1,1,1,REHAAN AHLUWALIA,NO REMARKS
INSP00153,2025-10-15,SCH0540,1,1,1,1,1,GEETIKA KULKARNI,NO REMARKS
INSP01981,2025-05-03,SCH0499,1,1,1,0,0,,TOILETS LOCKED
INSP01323,2025-09-07,SCH0264,1,1,1,1,0,TRIYA DUTTA,NO REMARKS
INSP01019,2025-06-06,SCH0303,1,1,1,1,,VEDANT HAYER,NO REMARKS
INSP02182,2026-01-29,SCH0248,1,1,1,0,1,KRISHA MITAL,GOOD CONDITION
INSP00001,2025-09-22,SCH0087,1,1,1,1,,IRA RANGANATHAN,GOOD CONDITION
INSP01463,2025-06-28,SCH0247,0,1,0,1,1,ALEXANDER GARDE,NEEDS REPAIR
INSP00622,2025-10-05,SCH0089,0,1,1,0,0,GIRISH BATTA,AVERAGE
INSP00409,2025-04-17,SCH0069,1,1,1,0,1,VAISHNAVI SARKAR,NO REMARKS
INSP02837,2025-06-04,SCH0424,0,,0,0,,GABRIEL BISWAS,AVERAGE
INSP01967,2025-08-30,SCH0105,1,0,1,0,0,YOSHITA SRIDHAR,TOILETS LOCKED
INSP02845,2025-11-29,SCH0341,1,1,1,1,1,PARTH BAWA,AVERAGE
INSP01622,2026-03-15,SCH0546,1,1,0,0,1,CHAMAN DUBEY,NO REMARKS
INSP01367,2025-12-21,SCH0078,1,1,1,1,1,SUHANI VISWANATHAN,GOOD CONDITION
INSP00888,2025-08-21,SCH0179,0,0,1,,0,NIHARIKA SUBRAMANIAM,NO REMARKS
INSP01845,2025-05-20,SCH0105,1,1,1,1,,WRIDESH PATIL,NO REMARKS
INSP00033,2025-06-24,SCH0323,1,1,1,1,1,URVI DANI,NO REMARKS
INSP00212,2025-05-22,SCH0080,1,1,1,0,0,DAKSH VORA,GOOD CONDITION
INSP02551,2025-12-20,SCH0186,1,1,1,1,0,DAVID CHEEMA,TOILETS LOCKED
INSP00015,2025-04-05,SCH0124,1,1,0,1,1,YASHODA JANI,AVERAGE
INSP00094,2025-10-28,SCH0234,1,0,1,0,1,EKAPAD RATTAN,NEEDS REPAIR
INSP01256,2025-08-30,SCH0037,1,1,1,1,1,MANYA MODY,NO REMARKS
INSP01398,2025-11-05,SCH0517,1,1,1,0,0,WAHAB PATIL,TOILETS LOCKED
INSP02819,2025-11-10,SCH0116,1,1,0,,1,,GOOD CONDITION
INSP00355,2026-03-02,SCH0410,1,1,,1,0,YOSHITA NAZARETH,AVERAGE
INSP00150,2025-12-30,SCH0428,1,0,0,0,1,CHRISTOPHER DUTT,GOOD CONDITION
INSP00255,2025-05-05,SCH0540,1,1,0,1,1,JAI VARUGHESE,AVERAGE
INSP02030,2025-04-04,SCH0010,1,1,0,1,0,,NO REMARKS
INSP00599,2025-04-13,SCH0292,1,1,0,1,0,BAKHSHI SHAN,NO REMARKS
INSP00185,2025-05-30,SCH0041,0,1,1,0,0,OSHA IYENGAR,NO REMARKS
INSP00579,2025-06-07,SCH0345,0,1,,0,0,,AVERAGE
INSP01091,2025-12-09,SCH0447,1,1,1,1,1,,NO REMARKS
INSP01174,2025-11-25,SCH0340,1,1,1,1,0,MAANAV RAU,NEEDS REPAIR
INSP02252,2025-04-12,SCH0476,1,1,1,0,0,ANITA KANNAN,NO REMARKS
INSP00472,2025-08-26,SCH0242,1,1,1,0,1,JANYA LALLA,AVERAGE
INSP01966,2026-03-13,SCH0281,1,1,0,0,1,VIHAAN VARMA,GOOD CONDITION
INSP01964,2025-06-21,SCH0598,1,1,1,1,0,JEEVIKA PANDIT,AVERAGE
INSP01303,2026-03-17,SCH0359,1,1,,1,0,VIHAAN BORA,GOOD CONDITION
INSP02998,2026-03-20,SCH0117,1,1,,1,0,ARYA SHENOY,TOILETS LOCKED
INSP00258,2025-07-06,SCH0067,0,1,1,1,0,UNNATI IYENGAR,TOILETS LOCKED
INSP01802,2026-02-28,SCH0364,0,1,1,1,0,AISHANI DHILLON,NEEDS REPAIR
INSP00933,2025-07-02,SCH0176,0,1,1,1,1,YASHASVI SETHI,NO REMARKS
INSP01685,2025-11-20,SCH0505,1,1,0,0,0,AYUSHMAN CHAND,AVERAGE
INSP00719,2025-12-06,SCH0533,1,1,1,1,1,HARINAKSHI BOASE,NO REMARKS
INSP00597,2026-06-02,SCH0014,0,1,0,1,0,ROHAN RAU,NO REMARKS
INSP00611,2025-09-01,SCH0432,1,1,1,1,1,NACHIKET PUROHIT,NO REMARKS
INSP00756,2025-10-24,SCH0489,,1,1,0,0,SUHANI BARAL,TOILETS LOCKED
INSP02326,2025-08-14,SCH0196,1,1,1,1,1,WAZIR VARTY,GOOD CONDITION
INSP01507,2025-09-28,SCH0177,0,,1,0,1,CHANCHAL PARMER,NO REMARKS
INSP02488,2025-12-13,SCH0209,1,0,1,1,0,URVI DATTA,TOILETS LOCKED
INSP01887,2025-07-16,SCH0019,1,1,1,1,,BALVAN VOHRA,NO REMARKS
INSP01339,2025-04-11,SCH0428,0,1,0,1,1,,GOOD CONDITION
INSP02612,2025-09-08,SCH0400,,1,1,0,0,WAHAB THAKKAR,NO REMARKS
INSP00175,2025-04-18,SCH0427,1,1,1,0,,ABDUL RATTI,AVERAGE
INSP01392,2025-07-10,SCH0428,1,1,1,1,1,YUG PRADHAN,NEEDS REPAIR
INSP02249,2026-03-17,SCH0026,1,1,1,1,,TANMAYI GOEL,NO REMARKS
INSP00121,2025-09-08,SCH0480,1,1,1,1,1,EKANTA RAMESH,NO REMARKS
INSP02893,2026-09-01,SCH0257,1,1,1,1,1,MAYA CHEEMA,TOILETS LOCKED
INSP00529,2026-03-25,SCH0080,1,1,1,,1,JACOB BUCH,NEEDS REPAIR
INSP02568,2026-01-24,SCH0356,1,1,0,1,1,MAHIKA SWAMINATHAN,NO REMARKS
INSP00904,2026-02-13,SCH0380,,1,1,,0,SAI VASA,TOILETS LOCKED
INSP01091,2025-12-09,SCH0447,1,1,1,1,1,,NO REMARKS
INSP02916,2026-03-19,SCH0327,1,1,0,0,1,ADITYA KORPAL,NEEDS REPAIR
INSP00440,2025-10-15,SCH0026,1,1,1,1,1,RONITH DESAI,TOILETS LOCKED
INSP01379,2025-06-04,SCH0026,1,1,1,1,,SAMAR SANDAL,AVERAGE
INSP02773,2025-08-27,SCH0124,1,1,1,1,1,PRATYUSH PARSA,GOOD CONDITION
INSP02145,2025-07-12,SCH0522,1,,0,1,1,HEMAL CONTRACTOR,GOOD CONDITION
INSP00189,2025-12-10,SCH0311,1,1,1,1,1,ISHANVI MANGAL,AVERAGE
INSP01951,2025-08-13,SCH0202,1,1,0,1,1,,AVERAGE
INSP01265,2026-12-01,SCH0122,1,1,1,0,0,MAANAS MURTY,TOILETS LOCKED
INSP02351,2025-04-20,SCH0204,1,0,1,0,0,LEENA WASON,NO REMARKS
INSP01115,2025-04-09,SCH0269,,0,0,1,1,DARSH KRISHNA,NO REMARKS
INSP00271,2026-01-12,SCH0240,1,1,1,1,0,TIMOTHY GHOSH,TOILETS LOCKED
INSP00001,2025-09-22,SCH0087,1,1,1,1,,IRA RANGANATHAN,GOOD CONDITION
INSP00252,2025-04-10,SCH0111,1,1,1,1,0,MOHINI SONI,NO REMARKS
INSP00369,2026-03-27,SCH0347,0,1,0,1,1,GEETIKA MISHRA,TOILETS LOCKED
INSP00388,2025-06-27,SCH0573,1,1,1,0,1,ISHAAN CHANDRAN,AVERAGE
INSP00292,2025-11-25,SCH0371,1,1,1,0,1,CHASMUM GANGULY,NO REMARKS
INSP01422,2026-09-01,SCH0024,1,1,,1,0,GEORGE RAI,GOOD CONDITION
INSP00810,2025-10-25,SCH0511,0,1,1,0,0,IRA LALL,NO REMARKS
INSP01953,2025-06-06,SCH0033,0,,0,0,1,RIA RAY,NO REMARKS
INSP02483,2025-06-27,SCH0237,,1,1,1,1,BHANUMATI BALAY,NEEDS REPAIR
INSP00247,2025-12-19,SCH0255,0,1,0,1,0,,NEEDS REPAIR
INSP01238,2025-05-20,SCH0211,1,1,0,1,1,FINN OOMMEN,NO REMARKS
INSP02432,2025-08-05,SCH0406,1,,1,,1,LEKHA KHANNA,AVERAGE
INSP01150,2025-10-09,SCH0432,0,1,1,0,0,ABHIMANYU GOPAL,NEEDS REPAIR
INSP02168,2025-03-09,SCH0592,,1,1,1,,ISHA NAZARETH,NO REMARKS
INSP00977,2025-08-28,SCH0305,1,1,1,1,0,SAMAR MODI,GOOD CONDITION
INSP02500,2025-09-14,SCH0294,1,1,1,1,,,NEEDS REPAIR
INSP00719,2025-12-06,SCH0533,1,1,1,1,1,HARINAKSHI BOASE,NO REMARKS
INSP02165,2025-10-31,SCH0541,1,1,1,1,1,VANSHA MAND,TOILETS LOCKED
INSP00444,2026-02-04,SCH0458,1,1,1,1,1,ABHA OM,TOILETS LOCKED
INSP02806,2025-12-10,SCH0599,1,1,0,0,1,ABHIRAM KARNIK,NEEDS REPAIR
INSP00565,2025-07-21,SCH0573,1,0,1,1,0,LOHIT PALAN,GOOD CONDITION
INSP02093,2025-10-29,SCH0375,1,1,1,1,1,RUDRA MASTER,TOILETS LOCKED
INSP00677,2025-11-04,SCH0143,0,1,1,1,0,TURVI AGARWAL,NEEDS REPAIR
INSP00880,2025-07-08,SCH0590,1,1,1,,0,,TOILETS LOCKED
INSP02660,2026-07-03,SCH0552,1,1,0,1,0,NIDRA BHATT,NO REMARKS
INSP01860,2025-08-17,SCH0576,1,1,1,1,0,ONVEER KALLA,TOILETS LOCKED
INSP02795,2025-12-15,SCH0260,1,1,1,1,0,ARIN SESHADRI,AVERAGE
INSP00176,2025-11-13,SCH0556,1,1,1,0,0,TANAY MASTER,TOILETS LOCKED
INSP00556,2025-06-16,SCH0479,0,1,1,0,,BANJEET GARDE,TOILETS LOCKED
INSP02222,2025-11-19,SCH0140,1,1,1,,,TANVI GUPTA,AVERAGE
INSP01557,2025-04-23,SCH0097,0,1,1,1,1,VIDHI DORA,GOOD CONDITION
INSP02959,2026-02-24,SCH0062,0,1,1,1,0,ZINAL HALDER,NO REMARKS
INSP02293,2026-03-07,SCH0237,0,1,1,,0,JANANI VARKEY,NO REMARKS
INSP01809,2025-12-19,SCH0294,1,1,,0,1,NATHANIEL MANI,NEEDS REPAIR
INSP00868,2025-04-09,SCH0321,1,0,1,0,0,,GOOD CONDITION
INSP02119,2025-04-30,SCH0022,1,1,1,1,1,DALBIR TANDON,GOOD CONDITION
INSP00450,2025-12-28,SCH0066,0,1,1,0,1,,TOILETS LOCKED
INSP01135,2025-10-20,SCH0317,1,0,0,0,0,ADVIK PERI,NEEDS REPAIR
INSP01851,2026-02-28,SCH0294,1,1,1,1,1,KEYA DUA,NO REMARKS
INSP00582,2025-12-27,SCH0312,0,1,0,,0,LEKHA MAMMEN,NO REMARKS
INSP02491,2026-01-27,SCH0066,0,1,1,,1,ETA LALLA,AVERAGE
INSP02051,2025-10-22,SCH0072,1,1,1,1,1,THOMAS DHAR,GOOD CONDITION
INSP02664,2025-06-13,SCH0199,0,1,0,,0,BAKHSHI KOSHY,NO REMARKS
